id,name,organization,latitude‎,longitude‎
28789,Дом-музей Н. Н. Жукова,mincult,52.6285,38.5
28757,Дом-музей Т. Н. Хренникова,mincult,52.6275,38.5052
28659,Музей занимательных наук Эйнштейна,commercial,57.6228,39.882
28627,Выставочный зал модульного типа Раздорского этнографического музея-заповедника,mincult,47.5155,40.5985
28617,Виртуальный филиал Русского музея г. Мурманск,mincult,68.9683,33.0809
28444,Музей техники Вадима Задорожного,commercial,55.7901,37.3029
28366,Галерея «Арискин-студия»,commercial,57.6232,39.8959
28279,Мемориальный кабинет-музей Ювана Шесталова,mincult,61.0241,69.1256
28163,Выставочный корпус музея «Новый Иерусалим»,mincult,55.9212,36.8527
28113,Музей «Старая школа Вальдвинкель»,commercial,54.8674,21.2487
28106,Музейно-выставочный зал Музея-заповедника «Костромская слобода»,mincult,57.764,40.9398
28094,Григорьевский сельский музей,mincult,51.1037,55.2967
28087,Музей и Центр хомуса народов мира,mincult,62.0333,129.7179
28083,Мемориальный дом-музей М. К. Аммосова,mincult,62.0251,129.7381
28052,Феодосийский музей древностей,othergov,45.0314,35.383
28030,Интерактивная площадка «Лаборатория научных развлечений»,mincult,56.8517,53.2067
28024,Ивановский выставочный зал Российской государственной библиотеки,mincult,55.7509,37.6083
28010,Республиканский музейно-культурный центр г. Абакан,mincult,53.7189,91.4779
28004,Большой Петергофский дворец,mincult,59.8781,29.9021
27962,Воробьевский историко-краеведческий комплекс,mincult,50.6438,40.9217
27892,Военно-исторический музей-заповедник г. Остров,mincult,57.343,28.3495
27841,Каменский краеведческий музей пгт Каменка,mincult,50.71,39.4344
27840,Центр искусств. Москва,commercial,55.7451,37.6077
27828,Музей-навигатор «Актуальные древности Коломны»,commercial,55.1059,38.7637
27817,Музей «Мой любимый Мишка»,commercial,57.6234,39.8964
27812,Историко-архитектурный комплекс «Архангельские Гостиные дворы»,mincult,64.5387,40.5095
27805,Этнографический музей имени Ю. А. Клименко,mincult,45.3097,36.0544
27763,Музей-мастерская «Золотой петушок»,mincult,55.004,45.3116
27682,Усадьба М. А. Шолохова,mincult,49.6265,41.7287
27677,Кабанский краеведческий музей им. М. А. Лукьянова,mincult,52.0519,106.6526
27666,Художественно-историческое объединение г. Северобайкальск,mincult,55.6396,109.3371
27657,Выставочный зал «Дом с торговой лавкой казака Ф. М. Гуськова»,mincult,47.5423,40.6504
27617,Мемориальный музей-квартира академика И. П. Павлова при Институте физиологии им. И. П. Павлова РАН,othergov,59.9368,30.2856
27590,Отдел «История создания российского флота» Воронежского областного краеведческого музея,mincult,51.6559,39.2159
27583,Выставочный зал «Манеж»,mincult,55.7976,49.1066
27574,Выставочный зал «Пухляковская картинная галерея»,mincult,47.512,40.5815
27571,Музей воинской славы,mincult,53.6915,88.0705
27458,Музей «Мастера»,mincult,51.5621,38.7576
27450,Лаврентиевский отдел по музейной работе,mincult,65.5796,-171.0048
27390,Отдел эстетического воспитания г. Россошь,mincult,50.1995,39.5662
27372,Галерея Art-Grigor,commercial,55.8013,37.4946
27353,Музей Центральной детской музыкальной школы им. А. Н. Скрябина,mincult,56.2427,43.4563
27202,Музейно-выставочный центр «Дом Поклевских-Козелл»,mincult,56.8342,60.6024
27160,Историко-краеведческий музей Иглинского района,mincult,54.834,56.4121
27153,Музейно-выставочное объединение имени С. И. Чиркова,mincult,55.5154,42.0806
26985,Выставочный зал Института реставрации,mincult,55.7388,37.5771
26937,Музей народного поэта Чувашии П. П. Хузангая,mincult,54.769,49.8596
26935,Историко-краеведческий музей имени С. М. Лисенкова,mincult,54.9091,49.9348
26894,Грибановский народный краеведческий музей,mincult,51.4585,41.9749
26648,Музей Великой Отечественной войны и краеведения Сармановского района,mincult,55.2506,52.5859
26549,Музей «Городецкий пряник»,mincult,56.6441,43.4683
26528,Музей «Дом графини Паниной»,mincult,56.6428,43.4654
26399,Галерея актуального искусства RuArts ,commercial,55.7409,37.6006
26369,Музей Государственной филармонии Республики Адыгея,mincult,44.6091,40.0993
26359,Выставочный зал «Радуга»,mincult,56.6342,47.8897
26321,Музей русской иконы,commercial,55.7462,37.6457
26229,Государственный Карачаево-Черкесский историко-культурный и природный музей-заповедник. Краеведческий музей,mincult,44.2099,42.0438
26227,Ейский районный краеведческий музей,mincult,46.359,38.2713
26204,Музей пос. Остроленский,mincult,53.683,59.7279
26160,Дом Саввы Артемьевича Дангулова,mincult,45.0019,41.1242
26116,Музей-усадьба народа сето,mincult,57.7096,27.6646
25989,Музей истории Красноярского района,mincult,53.4988,50.3888
25972,Краеведческий музей г.о. Чапаевск,mincult,52.9863,49.7
25952,Музей связи Сибири,mincult,55.0292,82.9162
25951,Музей Олимпийской славы Новосибирской области,mincult,55.0293,82.9162
25949,Музей природы г. Новосибирск,mincult,55.0343,82.91
25929,Большереченский краеведческий музей,mincult,56.0922,74.6352
25907,Музей советских игровых автоматов,commercial,55.7613,37.6212
25903,Московский музей анимации,othergov,55.7922,37.7633
25863,Старообрядческая церковь Покрова Пресвятой Богородицы,mincult,54.9058,37.4243
25861,Дом крестьянина Ёлкина,mincult,57.2564,39.15
